mlb_id,mlb_name,mlb_pos,mlb_team,bats,throws,birth_year,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_position,davenport_id,espn_id,espn_name,espn_pos,fg_id,fg_name,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retrosheet_id,retrosheet_name,debut,yahoo_id,yahoo_name,yahoo_pos,mlb_depth
572389,Josh Prince,CF,MIL,R,R,1988,60148,princjo01,Josh Prince,1740993,Josh Prince,SS,PRINCE19880126A,30660,Josh Prince,LF,6746,Josh Prince,princjo01,9362,Josh Prince,OF,prinj001,Josh Prince,4/6/2013,9362,Josh Prince,CF,
502210,Josh Reddick,RF,OAK,L,R,1987,56609,reddijo01,Josh Reddick,1662780,Josh Reddick,RF,REDDICK19870219A,30195,Josh Reddick,RF,3892,Josh Reddick,reddijo01,8544,Josh Reddick,RF,reddj001,Josh Reddick,7/31/2009,8544,Josh Reddick,RF,RF1
502158,Josh Roenicke,P,MIN,R,R,1982,50158,roenijo01,Josh Roenicke,1499974,Josh Roenicke,RP,ROENICKE19820804A,29268,Josh Roenicke,RP,3241,Josh Roenicke,roenijo01,8382,Josh Roenicke,P,roenj001,Josh Roenicke,9/13/2008,8382,Josh Roenicke,RP,
592710,Josh Rutledge,2B,LAA,R,R,1989,67105,rutlejo01,Josh Rutledge,1947835,Josh Rutledge,SS,RUTLEDGE19890421A,32144,Josh Rutledge,SS,11167,Josh Rutledge,rutlejo01,9237,Josh Rutledge,SS,rutlj001,Josh Rutledge,7/13/2012,9237,Josh Rutledge,SS/2B,
543744,Josh Satin,1B,NYM,R,R,1984,58632,satinjo01,Josh Satin,1807486,Josh Satin,1B,SATIN19841223A,31297,Josh Satin,1B,6788,Josh Satin,satinjo01,9044,Josh Satin,1B,satij001,Josh Satin,9/4/2011,9044,Josh Satin,1B,
595001,Josh Smith,P,CIN,R,R,1987,67875,,,2169869,Josh Smith,RP,,34719,Josh Smith,RP,,,,9928,Josh Smith,P,,,,9928,Josh Smith,RP,
543805,Josh Spence,P,NYY,L,L,1988,65991,spencjo01,Josh Spence,1841389,Josh Spence,RP,SPENCE19880122A,,,,11260,Josh Spence,spencjo01,8973,Josh Spence,P,spenj001,Josh Spence,6/24/2011,8973,Josh Spence,RP,
502139,Josh Stinson,P,PIT,R,R,1988,50146,stinsjo01,Josh Stinson,1741013,Josh Stinson,RP,STINSON19880314A,30614,Josh Stinson,RP,3219,Josh Stinson,stinsjo01,9043,Josh Stinson,P,stinj001,Josh Stinson,9/2/2011,9043,Josh Stinson,RP/SP,
489365,Josh Thole,C,TOR,L,R,1986,46730,tholejo01,Josh Thole,1661439,Josh Thole,C,THOLE19861028A,30188,Josh Thole,C,9689,Josh Thole,tholejo01,8569,Josh Thole,C,tholj001,Josh Thole,9/3/2009,8569,Josh Thole,C,C2
458708,Josh Tomlin,P,CLE,R,R,1984,52032,tomlijo01,Josh Tomlin,1758835,Josh Tomlin,SP,TOMLIN19841019A,30944,Josh Tomlin,SP,9388,Josh Tomlin,tomlijo01,8769,Josh Tomlin,P,tomlj001,Josh Tomlin,7/27/2010,8769,Josh Tomlin,SP,
519388,Josh Vitters,LF,CHC,R,R,1989,57576,vittejo01,Josh Vitters,1232134,Josh Vitters,3B,VITTERS19890827A,29978,Josh Vitters,LF,4623,Josh Vitters,vittejo01,8679,Josh Vitters,3B,vittj001,Josh Vitters,8/5/2012,8679,Josh Vitters,3B,
476205,Josh Wall,P,PIT,R,R,1987,49044,walljo02,Josh Wall,1915317,Josh Wall,RP,WALL19870121A,32039,Josh Wall,RP,4436,Josh Wall,walljo02,9239,Josh Wall,P,wallj002,Josh Wall,7/22/2012,9239,Josh Wall,RP,
425545,Josh Willingham,LF,KC,R,R,1979,31494,willijo03,Josh Willingham,383458,Josh Willingham,LF,WILLINGHA19790217A,6024,Josh Willingham,LF,2103,Josh Willingham,willijo03,7373,Josh Willingham,LF,willj004,Josh Willingham,7/6/2004,7373,Josh Willingham,LF,
425543,Josh Wilson,2B,TEX,R,R,1981,31495,wilsojo03,Josh Wilson,292457,Josh Wilson,2B,WILSON19810326A,6429,Josh Wilson,2B,2102,Josh Wilson,wilsojo03,7663,Josh Wilson,2B,wilsj003,Josh Wilson,9/7/2005,7663,Josh Wilson,2B/3B,
473646,Josh Zeid,P,DET,R,R,1987,59195,zeidjo01,Josh Zeid,2039176,Josh Zeid,RP,ZEID19870324A,31767,Josh Zeid,RP,6527,Josh Zeid,zeidjo01,9475,Josh Zeid,P,zeidj001,Josh Zeid,7/30/2013,9475,Josh Zeid,RP,
500887,Josmil Pinto,C,MIN,R,R,1989,51667,pintojo01,Josmil Pinto,1961512,Josmil Pinto,C,PINTO19890331A,31851,Josmil Pinto,C,6806,Josmil Pinto,pintojo01,9505,Josmil Pinto,C,pintj001,Josmil Pinto,9/1/2013,9505,Josmil Pinto,C,
434663,Juan Carlos Oviedo,P,TEX,R,R,1982,40448,nunezle01,Juan Carlos Oviedo,533057,Juan Carlos Oviedo,RP,NUNEZ19830814A,6272,Juan Carlos Oviedo,RP,2886,Juan Oviedo,nunezle01,7541,Juan Carlos Oviedo,P,nunel001,Leo Nunez,5/9/2005,7541,Juan Carlos Oviedo,RP,
518542,Juan Centeno,C,MIL,L,R,1989,55701,centeju01,Juan Centeno,1812645,Juan Centeno,C,CENTENO19891116A,31443,Juan Centeno,C,7168,Juan Centeno,centeju01,9529,Juan Centeno,C,centj001,Juan Centeno,9/18/2013,9529,Juan Centeno,C,C2
501726,Juan Diaz,SS,CLE,L,R,1988,50972,diazju02,Juan Diaz,1207704,Juan Diaz,SS,DIAZ19881212A,,,,9235,Juan Diaz,diazju02,9195,Juan Diaz,SS,diazj003,Juan Diaz,5/25/2012,9195,Juan Díaz,SS,
544269,Juan Duran,RF,CIN,R,R,1991,60063,,,1804104,Juan Duran,LF,DURAN19910902A,31181,Juan Duran,LF,sa503255,Juan Duran,,,,,,,,,,,
464433,Juan Francisco,3B,BOS,L,R,1987,52175,francju02,Juan Francisco,1600671,Juan Francisco,3B,FRANCISCO19870624A,29601,Juan Francisco,3B,6978,Juan Francisco,francju02,8598,Juan Francisco,3B,franj005,Juan Francisco,9/14/2009,8598,Juan Francisco,3B/1B,
434641,Juan Gutierrez,P,SF,R,R,1983,47699,gutieju01,J.C. Gutierrez,533053,Juan Gutierrez,RP,GUTIERREZ19830714A,28857,Juan Gutierrez,RP,3265,Juan Gutierrez,gutieju01,8093,Juan Gutierrez,P,gutij002,Juan Gutierrez,8/19/2007,8093,Juan Gutiérrez,RP,
462089,Juan Jaime,P,ATL,R,R,1987,52076,jaimeju01,Juan Jaime,1725226,Juan Jaime,RP,JAIME19870802A,30423,Juan Jaime,RP,6127,Juan Jaime,jaimeju01,9738,Juan Jaime,P,jaimj001,Juan Jaime,6/20/2014,9738,Juan Jaime,RP,
501571,Juan Lagares,CF,NYM,R,R,1989,50845,lagarju01,Juan Lagares,1811887,Juan Lagares,CF,LAGARES19890317A,31410,Juan Lagares,CF,5384,Juan Lagares,lagarju01,9377,Juan Lagares,CF,lagaj001,Juan Lagares,4/23/2013,9377,Juan Lagares,CF,CF1
504379,Juan Nicasio,P,LAD,R,R,1986,57000,nicasju01,Juan Nicasio,1725393,Juan Nicasio,RP,NICASIO19860831A,30511,Juan Nicasio,RP,7731,Juan Nicasio,nicasju01,8942,Juan Nicasio,P,nicaj001,Juan Nicasio,5/28/2011,8942,Juan Nicasio,SP,RP2
543633,Juan Perez,RF,SF,R,R,1986,60026,perezju02,Juan Perez,1794785,Juan Perez,LF,PEREZ19861113A,32011,Juan Perez,LF,5371,Juan Perez,perezju02,9428,Juan Perez,LF,perej002,Juan Perez,6/9/2013,9428,Juan Pérez,LF/CF,
407487,Juan Rivera,LF,NYY,R,R,1978,1605,riverju01,Juan Rivera,225428,Juan Rivera,LF,RIVERA19780703A,,,,843,Juan Rivera,riverju01,6805,Juan Rivera,OF,rivej001,Juan Rivera,9/4/2001,6805,Juan Rivera,LF,
346874,Juan Uribe,3B,LAD,R,R,1979,858,uribeju01,Juan Uribe,212040,Juan Uribe,3B,URIBE19790722A,4657,Juan Uribe,3B,454,Juan Uribe,uribeju01,6698,Juan Uribe,3B,uribj002,Juan Uribe,4/8/2001,6698,Juan Uribe,3B,3B1
474865,Julio Borbon,CF,CHC,L,L,1986,57657,borboju01,Julio Borbon,1262282,Julio Borbon,CF,BORBON19860220A,,,,3209,Julio Borbon,borboju01,8519,Julio Borbon,OF,borbj001,Julio Borbon,6/29/2009,8519,Julio Borbón,CF,
573650,Julio Morban,RF,SEA,L,L,1992,60305,,,2027443,Julio Morban,LF,MORBAN19920213A,32596,Julio Morban,LF,sa503304,Julio Morban,,,,,,,,,,,
527054,Julio Teheran,P,ATL,R,R,1991,58731,teherju01,Julio Teheran,1718082,Julio Teheran,SP,TEHERAN19910127A,31091,Julio Teheran,SP,6797,Julio Teheran,teherju01,8846,Julio Teheran,P,tehej001,Julio Teheran,5/7/2011,8846,Julio Teherán,SP,SP1
471822,Jumbo Diaz,P,CIN,R,R,1984,34744,diazju03,Jumbo Diaz,288902,Jumbo Diaz,RP,,29839,Jumbo Diaz,RP,3397,Jumbo Diaz,diazju03,9739,Jumbo Diaz,P,diazj005,Jumbo Diaz,6/20/2014,9739,Jumbo Diaz,RP,RP3
628356,Jung Ho Kang,SS,PIT,R,R,1987,102282,kangju01,Jung Ho Kang,2166699,Jung Ho Kang,SS,,33689,Jung Ho Kang,SS,17182,Jung-ho Kang,,9884,Jung Ho Kang,SS,,,4/8/2015,9884,Jung Ho Kang,SS,SS2
547749,Junichi Tazawa,P,BOS,R,R,1986,58984,tazawju01,Junichi Tazawa,1655261,Junichi Tazawa,RP,TAZAWA19860606A,30095,Junichi Tazawa,RP,4079,Junichi Tazawa,tazawju01,8392,Junichi Tazawa,P,tazaj001,Junichi Tazawa,8/7/2009,8392,Junichi Tazawa,RP,RP2
516809,Junior Lake,LF,CHC,R,R,1990,56563,lakeju01,Junior Lake,1740956,Junior Lake,LF,LAKE19900327A,30718,Junior Lake,LF,4672,Junior Lake,lakeju01,9466,Junior Lake,LF,lakej001,Junior Lake,7/19/2013,9466,Junior Lake,LF/CF,
595777,Jurickson Profar,2B,TEX,S,R,1993,68066,profaju01,Jurickson Profar,1796123,Jurickson Profar,2B,PROFAR19930220A,31117,Jurickson Profar,2B,10815,Jurickson Profar,profaju01,9112,Jurickson Profar,2B,profj001,Jurickson Profar,9/2/2012,9112,Jurickson Profar,2B/SS,
571506,Justin Bour,1B,MIA,L,R,1988,59603,bourju01,Justin Bour,1741754,Justin Bour,1B,,31453,Justin Bour,1B,9744,Justin Bour,bourju01,9723,Justin Bour,1B,bourj002,Justin Bour,6/5/2014,9723,Justin Bour,1B,1B2
451629,Justin Christian,LF,SF,R,R,1980,47287,chrisju01,Justin Christian,1226047,Justin Christian,RF,CHRISTIAN19800403A,,,,8297,Justin Christian,chrisju01,8283,Justin Christian,OF,chrij003,Justin Christian,6/24/2008,8283,Justin Christian,RF,
518603,Justin De Fratus,P,PHI,S,R,1987,55795,defraju01,Justin De Fratus,1784923,Justin De Fratus,RP,DEFRATUS19871021A,30976,Justin De Fratus,RP,4955,Justin De Fratus,defraju01,9085,Justin De Fratus,P,defrj001,Justin De Fratus,9/18/2011,9085,Justin De Fratus,RP,RP4
543178,Justin Freeman,P,CIN,R,R,1986,57859,freemju02,Justin Freeman,1811045,Justin Freeman,RP,FREEMAN19861022A,,,,7568,Justin Freeman,freemju02,9369,Justin Freeman,P,freej001,Justin Freeman,4/17/2013,9369,Justin Freeman,RP,
430683,Justin Germano,P,TEX,R,R,1982,35975,germaju01,Justin Germano,448929,Justin Germano,RP,GERMANO19820806A,,,,1938,Justin Germano,germaju01,7334,Justin Germano,P,germj001,Justin Germano,5/22/2004,7334,Justin Germano,RP/SP,
518748,Justin Grimm,P,CHC,R,R,1988,68390,grimmju01,Justin Grimm,1989422,Justin Grimm,RP,GRIMM19880816A,31753,Justin Grimm,RP,11720,Justin Grimm,grimmju01,9216,Justin Grimm,P,grimj002,Justin Grimm,6/16/2012,9216,Justin Grimm,RP/SP,RP3
476123,Justin Marks,P,TEX,L,L,1988,59212,marksju01,Justin Marks,2027409,Justin Marks,SP,MARKS19880112A,32608,Justin Marks,RP,10265,Justin Marks,marksju01,9677,Justin Marks,P,markj001,Justin Marks,4/20/2014,9677,Justin Marks,RP,
475416,Justin Masterson,P,BOS,R,R,1985,49766,masteju01,Justin Masterson,1262692,Justin Masterson,SP,MASTERSON19850322A,28977,Justin Masterson,SP,2038,Justin Masterson,masteju01,8194,Justin Masterson,P,mastj001,Justin Masterson,4/24/2008,8194,Justin Masterson,SP,
452239,Justin Maxwell,RF,SF,R,R,1983,52567,maxweju01,Justin Maxwell,1208665,Justin Maxwell,RF,MAXWELL19831106A,28896,Justin Maxwell,RF,6827,Justin Maxwell,maxweju01,8124,Justin Maxwell,CF,maxwj002,Justin Maxwell,9/5/2007,8124,Justin Maxwell,CF/RF,RF1
502522,Justin Miller,P,DET,R,R,1987,58260,milleju02,Justin Miller,1810726,Justin Miller,RP,MILLER19870613A,31364,Justin Miller,RP,8580,Justin Miller,milleju02,9366,Justin Miller,P,millj006,Justin Miller,4/18/2014,9366,Justin Miller,RP,
408047,Justin Morneau,1B,COL,L,R,1981,31760,morneju01,Justin Morneau,288974,Justin Morneau,1B,MORNEAU19810515A,5379,Justin Morneau,1B,1737,Justin Morneau,morneju01,7063,Justin Morneau,1B,mornj001,Justin Morneau,6/10/2003,7063,Justin Morneau,1B,1B1
592593,Justin Nicolino,P,MIA,L,L,1991,68637,,,1935824,Justin Nicolino,SP,,31708,Justin Nicolino,SP,,,,9588,Justin Nicolino,P,,,,9588,Justin Nicolino,SP,
592604,Justin O'Conner,C,TB,R,R,1992,67068,,,1757990,Justin O'Conner,C,,31828,Justin O'Conner,C,,,,,,,,,,,,,
448605,Justin Ruggiano,RF,SEA,R,R,1982,46669,ruggiju01,Justin Ruggiano,1103292,Justin Ruggiano,CF,RUGGIANO19820412A,28922,Justin Ruggiano,CF,7620,Justin Ruggiano,ruggiju01,8145,Justin Ruggiano,RF,ruggj001,Justin Ruggiano,9/19/2007,8145,Justin Ruggiano,RF/CF,CF1
451088,Justin Sellers,SS,PIT,R,R,1986,48886,selleju01,Justin Sellers,1599180,Justin Sellers,SS,SELLERS19860201A,29488,Justin Sellers,SS,4006,Justin Sellers,selleju01,9016,Justin Sellers,SS,sellj002,Justin Sellers,8/12/2011,9016,Justin Sellers,SS/2B,
475253,Justin Smoak,1B,TOR,S,L,1986,58692,smoakju01,Justin Smoak,1630092,Justin Smoak,1B,SMOAK19861205A,30175,Justin Smoak,1B,9054,Justin Smoak,smoakju01,8653,Justin Smoak,1B,smoaj001,Justin Smoak,4/23/2010,8653,Justin Smoak,1B,1B2
476206,Justin Thomas,P,NYY,L,L,1984,49004,thomaju01,Justin Thomas,1207708,Justin Thomas,RP,THOMAS19840118A,,,,9910,Justin Thomas,thomaju01,8360,Justin Thomas,P,thomj006,Justin Thomas,9/1/2008,8360,Justin Thomas,RP,
457759,Justin Turner,3B,LAD,R,R,1984,51991,turneju01,Justin Turner,1600680,Justin Turner,3B,TURNER19841123A,29607,Justin Turner,3B,5235,Justin Turner,turneju01,8588,Justin Turner,3B,turnj001,Justin Turner,9/8/2009,8588,Justin Turner,3B/2B,SS2
457708,Justin Upton,LF,SD,R,R,1987,51985,uptonju01,Justin Upton,593198,Justin Upton,LF,UPTON19870825A,28841,Justin Upton,LF,5222,Justin Upton,uptonju01,8080,Justin Upton,LF,uptoj001,Justin Upton,8/2/2007,8080,Justin Upton,LF/RF,LF1
434378,Justin Verlander,P,DET,R,R,1983,45613,verlaju01,Justin Verlander,530362,Justin Verlander,SP,VERLANDER19830220A,6341,Justin Verlander,SP,8700,Justin Verlander,verlaju01,7590,Justin Verlander,P,verlj001,Justin Verlander,7/4/2005,7590,Justin Verlander,SP,
458677,Justin Wilson,P,NYY,L,L,1987,59179,wilsoju10,Justin Wilson,1795985,Justin Wilson,RP,WILSON19870818A,31026,Justin Wilson,RP,4301,Justin Wilson,wilsoju10,9272,Justin Wilson,P,wilsj004,Justin Wilson,8/20/2012,9272,Justin Wilson,RP,RP4
434180,Kameron Loe,P,SF,R,R,1981,38592,loeka01,Kameron Loe,522449,Kameron Loe,RP,LOE19810910A,6136,Kameron Loe,RP,4422,Kameron Loe,loeka01,7465,Kameron Loe,P,loe-k001,Kameron Loe,9/26/2004,7465,Kameron Loe,RP/SP,
572751,Keith Butler,P,STL,R,R,1989,60182,butleke01,Keith Butler,2027415,Keith Butler,P,BUTLER19890130A,32598,Keith Butler,RP,10080,Keith Butler,butleke01,9416,Keith Butler,P,butlk001,Keith Butler,6/1/2013,9416,Keith Butler,RP,
571633,Kelly Dugan,RF,PHI,L,R,1990,59634,,,2107841,Kelly Dugan,CF,DUGAN19900918A,31787,Kelly Dugan,CF,sa500838,Kelly Dugan,,,,,,,,,,,
430637,Kelly Johnson,LF,ATL,L,R,1982,31349,johnske05,Kelly Johnson,292279,Kelly Johnson,LF,JOHNSON19820222A,6295,Kelly Johnson,LF,2234,Kelly Johnson,johnske05,7558,Kelly Johnson,3B,johnk003,Kelly Johnson,5/29/2005,7558,Kelly Johnson,3B/LF,
431159,Kelly Shoppach,C,CLE,R,R,1980,31726,shoppke01,Kelly Shoppach,484146,Kelly Shoppach,C,SHOPPACH19800429A,6200,Kelly Shoppach,C,3867,Kelly Shoppach,shoppke01,7493,Kelly Shoppach,C,shopk001,Kelly Shoppach,5/28/2005,7493,Kelly Shoppach,C,
516969,Kelvin Herrera,P,KC,R,R,1989,56449,herreke01,Kelvin Herrera,1897843,Kelvin Herrera,RP,HERRERA19891231A,32029,Kelvin Herrera,RP,6033,Kelvin Herrera,herreke01,9089,Kelvin Herrera,P,herrk001,Kelvin Herrera,9/21/2011,9089,Kelvin Herrera,RP,RP3
